UID,PH,COND,TN,TP,VMMI,RFREQ_AC,XRCOV_AC,P_T
4497,7.82,50070,0.619,71,75,0,0,664.2
4772,7.51,45950,1.063,339,75,0,0,424.29
5125,#N/A,#N/A,#N/A,#N/A,79.5,0,0,762.54
5128,#N/A,#N/A,#N/A,#N/A,73.6,0,0,293
5129,#N/A,#N/A,#N/A,#N/A,48.7,36.36,21.81,622.29
5130,#N/A,#N/A,#N/A,#N/A,75,0,0,519.12
5131,#N/A,#N/A,#N/A,#N/A,75,0,0,689.4
5142,#N/A,#N/A,#N/A,#N/A,61.3,0,0,186.63
5206,7.69,46510,0.621,111,77.7,0,0,1.63
5216,#N/A,#N/A,#N/A,#N/A,75,0,0,454.15
5248,#N/A,#N/A,#N/A,#N/A,78.5,0,0,206.03
5250,7.85,53260,0.804,138,75,0,0,471.01
5262,#N/A,#N/A,#N/A,#N/A,71,0,0,1160.67
5269,#N/A,#N/A,#N/A,#N/A,68,0,0,124.61
5340,#N/A,#N/A,#N/A,#N/A,48.2,2.47,0.81,694.69
3340,#N/A,#N/A,#N/A,#N/A,74.4,0,0,329.78
3570,7.7,51110,0.969,55,73.4,0,0,465.38
3572,#N/A,#N/A,#N/A,#N/A,61.1,0,0,128.9
3573,#N/A,#N/A,#N/A,#N/A,48.9,4.44,0.06,337.74
3663,#N/A,#N/A,#N/A,#N/A,40.1,9.59,26.5,145.6
3755,#N/A,#N/A,#N/A,#N/A,73.4,0,0,473.35
3792,#N/A,#N/A,#N/A,#N/A,79.5,0,0,263.56
3875,8.76,42670,23.075,2033,48.2,3.64,6.09,361.4
3893,#N/A,#N/A,#N/A,#N/A,78.5,0,0,466.36
3894,8.39,73190,2.95,175,54.5,0,0,156.45
3895,8.29,49720,0.798,102,57.3,0,0,218.06
3896,#N/A,#N/A,#N/A,#N/A,84.6,0,0,405.83
4056,#N/A,#N/A,#N/A,#N/A,74,0,0,289.85
4058,#N/A,#N/A,#N/A,#N/A,74.1,11.76,3.45,457
4059,8.02,46810,0.955,187,77.4,0,0,290.28
4060,8.16,32800,12.7,1087,76.1,11.76,0.09,599.13
4062,#N/A,#N/A,#N/A,#N/A,78.9,5,0.34,553.21
4444,7.78,56770,0.968,122,67,0,0,435.97
4445,8.23,44180,1.318,309,69.9,0,0,342.91
4739,8.29,53720,0.51,97,69.7,0,0,65.03
4794,#N/A,#N/A,#N/A,#N/A,82.2,0,0,110.73
5714,#N/A,#N/A,#N/A,#N/A,68.8,0,0,586.47
5715,#N/A,#N/A,#N/A,#N/A,63.2,0,0,612.32
5716,#N/A,#N/A,#N/A,#N/A,79.7,0,0,560.66
5717,#N/A,#N/A,#N/A,#N/A,77.9,0,0,268.86
5718,8.49,73660,4.719,411,69.6,0,0,233.61
5719,7.51,13450,1.706,856,61.2,23.4,4.82,538.9
5722,#N/A,#N/A,#N/A,#N/A,44.1,7.14,36.95,107.57
5723,#N/A,#N/A,#N/A,#N/A,77.3,3.12,0.56,304.74
5724,#N/A,#N/A,#N/A,#N/A,39.6,17.95,44.79,516.73
5725,#N/A,#N/A,#N/A,#N/A,46.4,16.83,19.13,51.93
5726,8.05,47010,1.169,167,69.5,0,0,349.77
5733,7.31,18880,2.975,1340,51.2,34.21,25.44,306.9
5734,#N/A,#N/A,#N/A,#N/A,86.3,0,0,112.47
5735,#N/A,#N/A,#N/A,#N/A,49.6,19.23,18.35,391.23
5736,8.01,26120,1.748,328,48.6,18.18,26.13,348.08
5737,#N/A,#N/A,#N/A,#N/A,66.6,0,0,164.01
5738,8.41,31680,1.73,423,58.6,21.62,24.78,265.97
3317,6.67,2757,1.286,47,67,15.56,31.12,1077.46
3339,8.23,30940,2.769,328,76.2,9.52,0.42,519.95
3408,#N/A,#N/A,#N/A,#N/A,45.5,8.7,8.31,491.26
3409,#N/A,#N/A,#N/A,#N/A,59,0,0,94.6
3411,7.55,13730,0.825,307,74.1,14.81,0.74,616.77
3436,7.48,29060,1.363,152,81.4,0,0,166.07
3437,7.95,24470,0.94,125,65.4,10.71,6.63,243.46
3438,7.7,40480,0.405,95,75,0,0,483.53
3702,#N/A,#N/A,#N/A,#N/A,55,0,0,40.52
3854,6.7,17880,5.473,93,68,0,0,564.01
3860,#N/A,#N/A,#N/A,#N/A,41.6,28,64.63,774.51
3861,#N/A,#N/A,#N/A,#N/A,66.3,0,0,149.01
3862,8.01,46220,0.94,123,74.5,0,0,357.68
3863,#N/A,#N/A,#N/A,#N/A,59.9,1.75,0.01,66.51
4386,#N/A,#N/A,#N/A,#N/A,36.1,11.11,26.3,616.09
4389,7.45,23970,3.106,1268,81.5,0,0,991.84
5746,3.67,8899,2.638,55,71.7,0,0,430.94
5748,#N/A,#N/A,#N/A,#N/A,48.7,15.38,17.68,677.12
5750,7.52,7580,3.188,539,75.6,7.14,11.33,992.84
5752,#N/A,#N/A,#N/A,#N/A,79.5,0,0,489.53
5753,7.27,18660,0.781,33,80.2,0,0,361.46
5754,#N/A,#N/A,#N/A,#N/A,42.4,12.12,31.54,721.91
5755,7.79,25700,0.403,27,56.5,20,33.68,883.83
5761,#N/A,#N/A,#N/A,#N/A,75,0,0,427.05
